sentence,product,part,class
Google Pixel 7 Pro's macro focus is a game-changer. Close-up shots never looked this good!,Google Pixel 7 Pro,macro focus,positive
"LG Wing's swivel screen is wild! But like, why though? Feels more gimmick than gorgeous.",LG Wing,swivel screen,negative
OnePlus 10T's 150W charging is insanely fast. But also kinda overkill? Battery anxiety much?,OnePlus 10T,,neutral
"Huawei P50 Pocket's cover screen is handy for selfies, but the crease on the main screen? Oof.",Huawei P50 Pocket,cover screen,neutral
iPhone 13's Cinematic mode is Hollywood in your pocket. Scorsese who? I'm the captain now!,iPhone 13,,positive
Samsung Galaxy Z Fold4's flex mode is cool for video calls. It's like having a mini tripod built-in!,Samsung Galaxy Z Fold4,flex mode,positive
Google Pixel 6 Pro's voice typing is scary accurate. It's like it's reading my mind!,Google Pixel 6 Pro,voice typing,positive
"OnePlus 9's Hasselblad colors are nice, but overhyped. Expectation vs. reality moment.",OnePlus 9,Hasselblad color calibration,neutral
"Xiaomi 13's leatherette back feels premium AF. Adds grip too, no case needed!",Xiaomi 13,leatherette back,positive
"Sony Xperia 10 IV's 21:9 aspect ratio is dope for movies, weird for everything else. Mixed feelings.",Sony Xperia 10 IV,21:9 aspect ratio,neutral
"Asus ROG Phone 7's AeroActive Cooler is extra, but keeps my phone chill during intense gaming sessions.",Asus ROG Phone 7,AeroActive Cooler,positive
Vivo X80 Pro's 3D sonic max fingerprint sensor is huge and fast. No more awkward unlocking!,Vivo X80 Pro,3D sonic max fingerprint sensor,positive
"Nokia G60's 100% recycled plastic frame is eco-cool, but the performance? Not so green.",Nokia G60,recycled plastic frame,negative
Realme GT 3's 240W charging is insane! But do we really need to charge this fast? Battery be sweating.,Realme GT 3,,neutral
"Motorola Edge 30 Ultra's 200MP camera is overkill. More isn't always better, ya know?",Motorola Edge 30 Ultra,200MP camera,negative
"OPPO Find N2's gapless fold is satisfying AF. Finally, a foldable that doesn't feel fragile!",OPPO Find N2,gapless fold,positive
"iPhone 14 Plus's satellite SOS is neat, but hope I never have to use it. Peace of mind though!",iPhone 14 Plus,,positive
Samsung Galaxy S23 Ultra's 200MP camera is crazy detailed. But good luck storing all those chonky files!,Samsung Galaxy S23 Ultra,200MP camera,positive
"Google Pixel Fold's software is smooth for a first-gen foldable. Google nailed it, almost.",Google Pixel Fold,,positive
OnePlus Open's alert slider is back! Missed this little thing. Silent mode in a jiffy!,OnePlus Open,alert slider,positive
Xiaomi 13 Pro's Leica cameras are legit. Colors pop like crazy! #nofilter for real.,Xiaomi 13 Pro,Leica cameras,positive
"Sony Xperia 1 V's photo pro app is complex but powerful. Pro mode for the win, if you can figure it out.",Sony Xperia 1 V,,neutral
Huawei Mate X3's water resistance is impressive for a foldable. Beach day with no worries!,Huawei Mate X3,,positive
OPPO Find N2 Flip's cover screen is actually useful. Samsung should take notes!,OPPO Find N2 Flip,cover screen,positive
"Vivo X90 Pro's vegan leather back feels nice, but gets dirty easy. Love-hate relationship.",Vivo X90 Pro,vegan leather back,neutral
"Nothing Phone 2's Glyph interface is a cool light show, but kinda pointless? All flash, no substance.",Nothing Phone 2,Glyph interface,negative
"iPhone 15's USB-C port is FINALLY here! Apple joining the party fashionably late, as usual.",iPhone 15,USB-C port,positive
"Samsung Galaxy A73's 108MP camera is overkill for a mid-ranger. Pics are good, not great.",Samsung Galaxy A73,108MP camera,neutral
"Google Pixel 7a's face unlock is convenient, but not as secure as I'd like. Sticky fingers beware!",Google Pixel 7a,,neutral
OnePlus Nord 3's OxygenOS feels bloated now. Not the clean experience it used to be. Sad face.,OnePlus Nord 3,,negative
Xiaomi Redmi K60's IR blaster is old school cool. Controlling my TV with my phone feels like magic!,Xiaomi Redmi K60,IR blaster,positive
"Sony Xperia 5 V's 48MP camera is more than enough. Finally, Sony not overcomplicating things!",Sony Xperia 5 V,48MP camera,positive
Asus Zenfone 10's one-handed mode is clutch for small hands. No more thumb gymnastics!,Asus Zenfone 10,,positive
Vivo V29's ring light for selfies is genius! Bad lighting who? We don't know her.,Vivo V29,selfie ring light,positive
"Nokia C32's toughened glass is solid. Clumsy peeps, this one's for you!",Nokia C32,toughened glass,positive
